entity,num_examples,class_counts_0_to_9
client_244,164,"[0, 0, 0, 0, 0, 54, 0, 0, 55, 55]"
client_245,165,"[0, 0, 55, 55, 55, 0, 0, 0, 0, 0]"
client_246,144,"[0, 0, 0, 48, 48, 0, 48, 0, 0, 0]"
client_247,179,"[0, 59, 0, 0, 60, 0, 0, 0, 60, 0]"
client_248,155,"[52, 0, 0, 0, 51, 0, 0, 0, 52, 0]"
client_249,171,"[0, 57, 0, 57, 0, 57, 0, 0, 0, 0]"
client_250,151,"[0, 50, 0, 0, 0, 0, 51, 50, 0, 0]"
client_251,181,"[61, 0, 0, 60, 0, 0, 0, 0, 60, 0]"
client_252,172,"[58, 57, 57, 0, 0, 0, 0, 0, 0, 0]"
client_253,141,"[0, 0, 0, 47, 0, 47, 47, 0, 0, 0]"
client_254,150,"[0, 0, 50, 0, 0, 50, 50, 0, 0, 0]"
client_255,150,"[50, 0, 0, 0, 0, 0, 0, 50, 0, 50]"
client_256,154,"[0, 51, 0, 0, 0, 0, 51, 52, 0, 0]"
client_257,149,"[0, 50, 0, 0, 50, 0, 0, 0, 0, 49]"
client_258,158,"[0, 0, 0, 0, 53, 53, 0, 52, 0, 0]"
client_259,165,"[0, 0, 0, 0, 0, 0, 0, 55, 55, 55]"
client_260,173,"[0, 0, 0, 0, 58, 0, 0, 0, 58, 57]"
client_261,177,"[0, 59, 0, 0, 0, 59, 0, 0, 59, 0]"
client_262,163,"[54, 0, 0, 0, 0, 0, 55, 0, 54, 0]"
client_263,161,"[0, 0, 54, 0, 0, 0, 54, 0, 53, 0]"
client_264,139,"[0, 0, 0, 46, 0, 0, 0, 46, 0, 47]"
client_265,170,"[0, 0, 0, 57, 57, 0, 0, 0, 0, 56]"
client_266,138,"[0, 0, 0, 0, 46, 46, 46, 0, 0, 0]"
client_267,156,"[0, 0, 0, 52, 52, 0, 0, 0, 52, 0]"
client_268,181,"[0, 0, 0, 0, 60, 0, 61, 60, 0, 0]"
client_269,171,"[0, 0, 57, 0, 0, 57, 0, 0, 0, 57]"
client_270,149,"[0, 0, 0, 50, 0, 0, 50, 0, 49, 0]"
client_271,147,"[49, 0, 0, 49, 0, 49, 0, 0, 0, 0]"
client_272,159,"[53, 0, 0, 53, 53, 0, 0, 0, 0, 0]"
client_273,149,"[0, 0, 0, 49, 0, 50, 0, 50, 0, 0]"
client_274,168,"[56, 56, 0, 0, 0, 56, 0, 0, 0, 0]"
client_275,158,"[0, 53, 0, 53, 52, 0, 0, 0, 0, 0]"
client_276,184,"[0, 0, 61, 0, 0, 0, 0, 0, 61, 62]"
client_277,167,"[0, 0, 0, 56, 55, 0, 0, 0, 0, 56]"
client_278,179,"[0, 0, 0, 60, 0, 0, 0, 59, 60, 0]"
client_279,159,"[0, 0, 53, 0, 53, 0, 0, 0, 53, 0]"
client_280,174,"[58, 0, 58, 58, 0, 0, 0, 0, 0, 0]"
client_281,154,"[0, 0, 0, 52, 51, 0, 51, 0, 0, 0]"
client_282,163,"[0, 0, 54, 0, 0, 0, 55, 0, 0, 54]"
client_283,140,"[0, 46, 47, 0, 0, 0, 0, 0, 47, 0]"
client_284,162,"[54, 0, 0, 0, 0, 54, 0, 0, 0, 54]"
client_285,155,"[51, 0, 0, 52, 0, 0, 52, 0, 0, 0]"
client_286,154,"[0, 51, 0, 0, 0, 51, 52, 0, 0, 0]"
client_287,174,"[0, 58, 0, 0, 0, 0, 0, 58, 58, 0]"
client_288,174,"[0, 0, 0, 0, 58, 0, 0, 58, 0, 58]"
client_289,158,"[53, 0, 0, 0, 0, 0, 52, 53, 0, 0]"
client_290,152,"[51, 0, 0, 0, 0, 0, 50, 0, 51, 0]"
client_291,175,"[0, 0, 0, 58, 0, 0, 58, 59, 0, 0]"
client_292,163,"[0, 0, 0, 54, 0, 55, 0, 0, 0, 54]"
client_293,159,"[0, 0, 0, 0, 53, 53, 0, 53, 0, 0]"
client_294,179,"[0, 0, 60, 0, 0, 60, 0, 0, 0, 59]"
client_295,171,"[57, 0, 0, 57, 0, 0, 0, 0, 57, 0]"
client_296,160,"[53, 54, 0, 0, 0, 0, 0, 0, 53, 0]"
client_297,125,"[0, 0, 0, 42, 0, 0, 0, 42, 41, 0]"
client_298,157,"[52, 52, 0, 53, 0, 0, 0, 0, 0, 0]"
client_299,179,"[0, 0, 0, 0, 59, 60, 60, 0, 0, 0]"
