round,num_clients,num_examples,client_id,effective_prior_lambda,local_steps,lr,posterior_mean_abs_mean,posterior_precision_max,posterior_precision_mean,posterior_precision_min,posterior_sigma_mean,prior_loss,server_round,task_loss,train_accuracy,train_loss,update_l2,update_max_abs,update_rms,variance_floor_fraction
11,20,6884.085363414537,11.152046081843274,0.009999999999999998,2156.5328613144525,0.009999999999999998,0.011134160413279097,2.9245181928334643,0.00186085331439652,6.084346915180561e-11,320.30672722885924,0.0014035534891622447,11.0,0.193209814275936,0.9115164606584265,0.1932238498676628,1.002429539314547,0.06595898406981916,0.0010837373756540938,0.0
12,20,6884.085363414537,11.152046081843274,0.009999999999999998,2156.5328613144525,0.009999999999999998,0.010950795263440175,3.1047948744541274,0.0020242059129062097,6.084346915180561e-11,317.67071897295165,0.0013072058006274004,12.0,0.19001992806316817,0.9131665266610663,0.19003300004264867,0.9884694637665058,0.060694177838460296,0.0010686449875659376,0.0
13,20,6884.085363414537,11.152046081843274,0.009999999999999998,2156.5328613144525,0.009999999999999998,0.010790809906918459,3.279688730526554,0.002187285288918301,6.084346915180561e-11,315.2717458232439,0.0012449790611097256,13.0,0.18603835595673088,0.9149925997039884,0.18605080566661844,0.9774969553363183,0.06272094936738076,0.0010567824904785066,0.0
14,20,6884.085363414537,11.152046081843274,0.009999999999999998,2156.5328613144525,0.009999999999999998,0.01065051264221617,3.450980910897622,0.0023525318156103754,6.084346915180561e-11,313.0834010570283,0.0012051495611507272,14.0,0.18232065582476897,0.9171806872274895,0.18233270735988444,0.9761911099752635,0.05690387830593008,0.001055370726988808,0.0
15,20,6884.085363414537,11.152046081843274,0.01,2156.5328613144525,0.01,0.010526247997948377,3.6158914602710284,0.0025171077902568866,6.084346915180561e-11,311.05453041622746,0.0011756734286802017,15.0,0.18048093187360104,0.9182047281891276,0.18049268866843288,0.9655447221163911,0.06006097229011126,0.0010438608023648197,0.0
16,20,6884.085363414537,11.152046081843274,0.009999999999999998,2156.5328613144525,0.009999999999999998,0.010415053707271702,3.7851254549583078,0.002678991899614931,6.084346915180561e-11,309.1825006981395,0.001081797846959714,16.0,0.17736498070219323,0.919732789311573,0.17737579867135556,0.9431878026599335,0.05733357680660996,0.0010196904958552776,0.0
17,20,6884.085363414537,11.152046081843274,0.009999999999999998,2156.5328613144525,0.009999999999999998,0.010316101504373908,3.945026386580022,0.0028436247606839623,6.084346915180561e-11,307.44740908536073,0.0010594609611406462,17.0,0.17474447289253311,0.9206908276331054,0.17475506753749467,0.9451261152589229,0.05440870530003571,0.0010217860264904405,0.0
18,20,6884.085363414537,11.152046081843274,0.009999999999999998,2156.5328613144525,0.009999999999999998,0.01022672806617204,4.103069244167739,0.0030071133210059792,6.084346915180561e-11,305.83753484974477,0.0010396268720422406,18.0,0.17301971158686397,0.9217468698747951,0.17303010785284764,0.9302034805540385,0.05142292891776158,0.0010056530053267042,0.0
19,20,6884.085363414537,11.152046081843274,0.01,2156.5328613144525,0.01,0.010145827770335016,4.258434147628585,0.0031685862044749475,6.084346915180561e-11,304.375604037161,0.0009903050001559357,19.0,0.17047577290118762,0.9232969318772754,0.17048567592696465,0.9220440907573768,0.05662477819355656,0.0009968318011039918,0.0
20,20,6884.085363414537,11.152046081843274,0.009999999999999998,2156.5328613144525,0.009999999999999998,0.010072743827599182,4.40455947628431,0.003333715999180089,6.084346915180561e-11,302.96446579139246,0.0009749883468839213,20.0,0.16902059301764794,0.9243169726789073,0.16903034286670535,0.9189407837758485,0.04984897159925437,0.0009934767824896064,0.0
21,20,6884.085363414537,11.152046081843274,0.009999999999999998,2156.5328613144525,0.009999999999999998,0.010006734933953503,4.564904734641916,0.003497927702026415,6.084346915180561e-11,301.6361837177546,0.0009303740800333346,21.0,0.1671096294166584,0.9247389895595824,0.16711893315032122,0.9137668795948315,0.051021990641776316,0.0009878832189331537,0.0
22,20,6884.085363414537,11.152046081843274,0.009999999999999998,2156.5328613144525,0.009999999999999998,0.00994683006546324,4.712213393349501,0.003662426992759386,6.084346915180561e-11,300.403305041894,0.0009123847440982353,22.0,0.1654594306416073,0.9254990199607985,0.1654685544992866,0.907518572857187,0.048363907832302586,0.0009811281071965552,0.0
23,20,6884.085363414537,11.152046081843274,0.01,2156.5328613144525,0.01,0.009892386503872147,4.850674783007098,0.003827656558012093,6.084346915180561e-11,299.24902024889525,0.0009045041269520517,23.0,0.1638442734667322,0.9264350574022964,0.16385331855754331,0.9050983458026132,0.04779095776590192,0.0009785115736510612,0.0
24,20,6884.085363414537,11.152046081843274,0.009999999999999998,2156.5328613144525,0.009999999999999998,0.00984288036301122,4.98687828922802,0.003988621657962364,6.084346915180561e-11,298.16663147695556,0.0008581135444482031,24.0,0.16112942694304141,0.9279551182047283,0.16113800801460848,0.8941831139696041,0.04764470263383947,0.0009667109989099676,0.0
