keep_ratio,label,prune_fraction,round,sparse_compression_ratio_mean,sparse_dropped_update_l2_mean,sparse_num_params_sent_mean,sparse_num_params_total_mean,sparse_score_mean_mean,sparse_score_p50_mean,sparse_score_p90_mean,sparse_sent_update_fraction_l2_mean,sparse_sent_update_l2_mean,sparse_threshold_mean
0.5,drop050_keep050,0.5,65,0.5,0.010543195402787947,50885.0,101770.0,2.535583510994859e-07,9.464184285136989e-08,3.066902548504754e-07,0.9936593976284719,0.09024073509134442,9.464313402794898e-08
0.5,drop050_keep050,0.5,66,0.5,0.012341073376700639,50885.0,101770.0,2.9402228768695957e-07,1.0613469898054054e-07,3.7290227782684546e-07,0.9934552634063792,0.1055550830198466,1.0613589198076208e-07
0.5,drop050_keep050,0.5,67,0.5,0.008745281264239544,50885.0,101770.0,2.156908863536738e-07,7.62227942858318e-08,2.718893100100841e-07,0.9941749100253409,0.07916296233515355,7.622337396071682e-08
0.5,drop050_keep050,0.5,68,0.5,0.01008747603170134,50885.0,101770.0,2.412435179587192e-07,8.925244427041821e-08,3.024302300421307e-07,0.9936842859113314,0.08875485184355006,8.925336241619476e-08
0.5,drop050_keep050,0.5,69,0.5,0.011995929153955708,50885.0,101770.0,2.867402201547655e-07,1.0601069904742036e-07,3.6851104947529385e-07,0.9935522931256925,0.10507988023900858,1.0601227133081949e-07
0.5,drop050_keep050,0.5,70,0.5,0.013269426891140053,50885.0,101770.0,3.1926789881644974e-07,1.1469568300368163e-07,3.8966162042141166e-07,0.9935134139246962,0.11366015735444267,1.1469730108300847e-07
0.5,drop050_keep050,0.5,71,0.5,0.00775046486570267,50885.0,101770.0,1.925311618394503e-07,6.856696990396387e-08,2.509143930162409e-07,0.994400123510301,0.07220060280458236,6.856852855100668e-08
0.5,drop050_keep050,0.5,72,0.5,0.006777291448717093,50885.0,101770.0,1.6736298059808466e-07,6.01829932909667e-08,2.1470273774901952e-07,0.9936469854975363,0.0636106434169661,6.018352956665049e-08
0.5,drop050_keep050,0.5,73,0.5,0.01113214200002166,50885.0,101770.0,2.962237664447277e-07,1.007947277012183e-07,3.681128719025175e-07,0.9947014544339977,0.10754923578341019,1.0079701561872367e-07
0.5,drop050_keep050,0.5,74,0.5,0.01159635553758518,50885.0,101770.0,2.7544702977893003e-07,1.0174159428958494e-07,3.5128467201817956e-07,0.9933265233270892,0.09871582298742344,1.0174389354902795e-07
0.5,drop050_keep050,0.5,75,0.5,0.009523246407947916,50885.0,101770.0,2.325533359204348e-07,8.315530612160053e-08,2.93526677463483e-07,0.9938267531329293,0.08311539541849602,8.31564946839483e-08
0.5,drop050_keep050,0.5,76,0.5,0.012263874909400934,50885.0,101770.0,2.9754506881959847e-07,1.0671017010877681e-07,3.778261771491797e-07,0.9936545429674013,0.10618556395029997,1.0671145502167282e-07
0.5,drop050_keep050,0.5,77,0.5,0.010291104839223825,50885.0,101770.0,2.4368700783442505e-07,8.951824002573439e-08,3.079675355963902e-07,0.9941331172505232,0.09325065616106645,8.951940788810153e-08
0.5,drop050_keep050,0.5,78,0.5,0.013812944817529078,50885.0,101770.0,3.21017290276473e-07,1.212444355145673e-07,3.922146947520354e-07,0.9942092941209885,0.12037547983968765,1.2124623603411e-07
