method,metric,round,mean,std,count
Proposed/Bayesian-Torch,posterior_mean_accuracy,21,0.14023333333333335,0.014864835462706387,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,22,0.15523333333333333,0.005488472768752096,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,23,0.1551,0.0075604232685743174,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,24,0.15846666666666667,0.015113349507416718,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,25,0.16073333333333334,0.004119870548128093,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,26,0.16476666666666667,0.01609358050072554,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,27,0.16679999999999998,0.009597395480024775,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,28,0.17063333333333333,0.02288893473566066,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,29,0.16836666666666666,0.009843949072061145,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,30,0.17046666666666666,0.019123109928391176,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,31,0.16833333333333333,0.010327310072489028,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,32,0.16313333333333332,0.01966960430037506,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,33,0.1671,0.007300000000000012,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,34,0.16780000000000003,0.01618734073280724,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,35,0.17266666666666666,0.005804595880277396,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,36,0.17736666666666667,0.01537541327357847,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,37,0.18100000000000002,0.010305823596394417,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,38,0.18159999999999998,0.014916769087171662,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,39,0.18320000000000003,0.011212047092302106,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,40,0.18696666666666664,0.01376602096952251,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,41,0.18826666666666667,0.012523710845166194,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,42,0.18913333333333335,0.013636104037933017,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,43,0.19203333333333336,0.014901789601699984,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,44,0.19126666666666667,0.011807765806168987,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,45,0.19343333333333335,0.011900140055198218,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,46,0.19340000000000002,0.012497599769555744,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,47,0.1940666666666667,0.009819029144132999,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,48,0.19586666666666666,0.00997212782375624,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,49,0.19733333333333333,0.011339018182070847,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,50,0.1995,0.012242548754242308,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,51,0.2014,0.013432423459673985,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,52,0.2005,0.009808669634563087,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,53,0.20096666666666665,0.011724049357339533,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,54,0.20226666666666668,0.012600529089420533,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,55,0.20413333333333336,0.01408770149219998,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,56,0.2028,0.012134661099511588,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,57,0.20433333333333334,0.013658818885003672,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,58,0.20379999999999998,0.012113215923114718,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,59,0.20443333333333333,0.014378572019965457,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,60,0.20473333333333332,0.011594107698884516,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,61,0.20663333333333334,0.012444409722173786,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,62,0.20646666666666666,0.011550901840693361,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,63,0.20693333333333333,0.011088883322198562,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,64,0.207,0.012124768039018304,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,65,0.20813333333333336,0.012720980046102314,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,66,0.20896666666666666,0.013053862774417885,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,67,0.2091333333333333,0.012711543310445559,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,68,0.20943333333333336,0.012831341836820243,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,69,0.2089,0.012240506525466993,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,70,0.20886666666666667,0.011582026305156343,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,71,0.20919999999999997,0.011647746563176922,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,72,0.2092333333333333,0.011100600584352778,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,73,0.20933333333333334,0.011614358929072815,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,74,0.21009999999999998,0.012365678307314968,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,75,0.2098,0.011170049238924586,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,76,0.20996666666666666,0.011189876377035335,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,77,0.20963333333333334,0.011132984026456414,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,78,0.20973333333333333,0.011303686714224409,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,79,0.2104,0.011930213744941864,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,80,0.2106,0.011738398527908301,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,81,0.21103333333333332,0.012194397620765579,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,82,0.21119999999999997,0.011978731151503497,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,83,0.21119999999999997,0.012216791722870627,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,84,0.2111333333333333,0.0117462050609264,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,85,0.21130000000000002,0.011609048195265623,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,86,0.21143333333333333,0.011679183761433565,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,87,0.21153333333333335,0.011864372437399857,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,88,0.21143333333333333,0.011850879010998865,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,89,0.21130000000000002,0.011860860002546169,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,90,0.21143333333333333,0.01177171751841392,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,91,0.21143333333333333,0.011838214955529969,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,92,0.21136666666666667,0.011644025649805718,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,93,0.21133333333333335,0.011666333328571296,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,94,0.21130000000000002,0.011793642355099622,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,95,0.21126666666666669,0.011736410581320562,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,96,0.21133333333333335,0.011679183761433561,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,97,0.21126666666666669,0.011564745277494595,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,98,0.21126666666666669,0.011564745277494595,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,99,0.21130000000000002,0.011621961968617865,3
Proposed/Bayesian-Torch,posterior_mean_accuracy,100,0.21130000000000002,0.011621961968617865,3
