round,parameter,kind,numel,mean_abs,sigma_mean,sigma_min,sigma_max,snr_mean
75,conv2.mu_kernel,bbb,51200,0.08311022818088531,0.04882465675473213,0.03242265433073044,0.07458502799272537,1.718695878982544
75,conv2.mu_bias,bbb,64,0.3093017339706421,0.04944382980465889,0.036568623036146164,0.06036140024662018,6.310102939605713
75,fc1.mu_weight,bbb,819200,0.07955055683851242,0.048815056681632996,0.02952762506902218,0.07759173214435577,1.6452064514160156
75,fc1.mu_bias,bbb,512,0.19327878952026367,0.04876828193664551,0.03452415391802788,0.0634230524301529,3.9820194244384766
75,fc2.mu_weight,bbb,5120,0.070551298558712,0.04871058836579323,0.03462037816643715,0.07154719531536102,1.4624238014221191
75,fc2.mu_bias,bbb,10,0.18949304521083832,0.04861759394407272,0.04294099658727646,0.05360020324587822,3.880586624145508
76,conv1.mu_kernel,bbb,2400,0.13854607939720154,0.04859543964266777,0.032501980662345886,0.06558326631784439,2.8834826946258545
76,conv1.mu_bias,bbb,32,0.7779738306999207,0.04992445185780525,0.040563639253377914,0.06960910558700562,15.752023696899414
76,conv2.mu_kernel,bbb,51200,0.08312909305095673,0.04882461950182915,0.032422665506601334,0.07458502799272537,1.7190850973129272
76,conv2.mu_bias,bbb,64,0.31025123596191406,0.0494418740272522,0.03656866401433945,0.06036098301410675,6.330329895019531
76,fc1.mu_weight,bbb,819200,0.0795484334230423,0.048815056681632996,0.02952762506902218,0.07759173214435577,1.6451630592346191
76,fc1.mu_bias,bbb,512,0.19384434819221497,0.04876817390322685,0.03452436625957489,0.06342294812202454,3.99367094039917
76,fc2.mu_weight,bbb,5120,0.07045666873455048,0.04871019721031189,0.03461969643831253,0.07154679298400879,1.4604631662368774
76,fc2.mu_bias,bbb,10,0.1913931667804718,0.04861195757985115,0.04293777421116829,0.05359536036849022,3.9211654663085938
77,conv1.mu_kernel,bbb,2400,0.13917265832424164,0.04859444499015808,0.03250223398208618,0.06558280438184738,2.8966188430786133
77,conv1.mu_bias,bbb,32,0.7824234962463379,0.04991873726248741,0.04056379199028015,0.06960733979940414,15.84089469909668
77,conv2.mu_kernel,bbb,51200,0.08314793556928635,0.04882458224892616,0.032422665506601334,0.07458502799272537,1.719477653503418
77,conv2.mu_bias,bbb,64,0.3111730217933655,0.04943970590829849,0.0365685410797596,0.06036123260855675,6.349483013153076
77,fc1.mu_weight,bbb,819200,0.0795464888215065,0.048815056681632996,0.02952762506902218,0.07759173214435577,1.6451219320297241
77,fc1.mu_bias,bbb,512,0.19433757662773132,0.04876808449625969,0.0345245860517025,0.06342271715402603,4.003669738769531
77,fc2.mu_weight,bbb,5120,0.07035645097494125,0.04870977997779846,0.034618739038705826,0.07154559344053268,1.4583967924118042
77,fc2.mu_bias,bbb,10,0.19366240501403809,0.04860837012529373,0.042934224009513855,0.05358747020363808,3.9706368446350098
78,conv1.mu_kernel,bbb,2400,0.1398722380399704,0.04859345778822899,0.032501671463251114,0.06558214128017426,2.911212205886841
78,conv1.mu_bias,bbb,32,0.7869751453399658,0.04991406574845314,0.040563277900218964,0.06960295885801315,15.935722351074219
78,conv2.mu_kernel,bbb,51200,0.08316900581121445,0.04882454499602318,0.032422639429569244,0.07458502799272537,1.719911813735962
78,conv2.mu_bias,bbb,64,0.31230881810188293,0.04943804442882538,0.03656841814517975,0.06036125496029854,6.37355899810791
78,fc1.mu_weight,bbb,819200,0.07954451441764832,0.0488150492310524,0.02952762506902218,0.07759173214435577,1.6450811624526978
78,fc1.mu_bias,bbb,512,0.19494861364364624,0.048767976462841034,0.03452448919415474,0.0634230524301529,4.016120433807373
78,fc2.mu_weight,bbb,5120,0.07029588520526886,0.048709385097026825,0.03461921587586403,0.07154526561498642,1.4571917057037354
