rank,run_label,status,method,lr,batch_size,local_epochs,ola_prior_lambda,precision_init,precision_floor,fisher_clip,posterior_sample_scale,client_fraction,num_rounds,final_round,final_global_accuracy,final_global_mean_accuracy,final_global_mc_accuracy,final_global_loss,final_global_mean_loss,final_global_mc_loss,final_global_ece,final_global_mean_ece,final_global_mc_ece,final_global_nll,final_local_accuracy_weighted,final_posterior_sigma_mean,final_posterior_snr_raw_p50,output_dir
35,ola_lr0p002_b32_e1_lam0p01_pinit0p001_fclip10p0,ok,ola,0.002,32,1,0.01,0.001,1e-8,10.0,0.001,0.05,60,60,0.8369,0.8369,0.8219,0.6762100766181945,0.6762100766181945,0.7651114652633667,0.21275001886934036,0.21275001886934036,0.2488293768450618,0.6762100766181945,0.9558769335471563,29.42008400702507,0.0006095381697965221,outputs/tune_ola_mnist_noniid_unbalanced_fixed/ola_lr0p002_b32_e1_lam0p01_pinit0p001_fclip10p0
36,ola_lr0p002_b32_e1_lam0p05_pinit0p001_fclip10p0,ok,ola,0.002,32,1,0.05,0.001,1e-8,10.0,0.001,0.05,60,60,0.8369,0.8369,0.8219,0.6762100766181945,0.6762100766181945,0.7651114652633667,0.21275001886934036,0.21275001886934036,0.2488293768450618,0.6762100766181945,0.9558769335471563,29.42008400702507,0.0006095381697965221,outputs/tune_ola_mnist_noniid_unbalanced_fixed/ola_lr0p002_b32_e1_lam0p05_pinit0p001_fclip10p0
37,ola_lr0p002_b32_e1_lam0p05_pinit0p01_fclip10p0,ok,ola,0.002,32,1,0.05,0.01,1e-8,10.0,0.001,0.05,60,60,0.8359,0.8359,0.8344,0.6900150129318238,0.6900150129318238,0.7036802981376648,0.220028438949585,0.220028438949585,0.22694072657525544,0.6900150129318238,0.9558769335471563,9.89192801119947,0.0018165478212185068,outputs/tune_ola_mnist_noniid_unbalanced_fixed/ola_lr0p002_b32_e1_lam0p05_pinit0p01_fclip10p0
38,ola_lr0p002_b32_e1_lam0p001_pinit0p01_fclip10p0,ok,ola,0.002,32,1,0.001,0.01,1e-8,10.0,0.001,0.05,60,60,0.8359,0.8359,0.8344,0.6900150036811828,0.6900150036811828,0.7036802910804748,0.22002843993008137,0.22002843993008137,0.2269407263427973,0.6900150036811828,0.9558769335471563,9.891928013235292,0.0018165478212185068,outputs/tune_ola_mnist_noniid_unbalanced_fixed/ola_lr0p002_b32_e1_lam0p001_pinit0p01_fclip10p0
39,ola_lr0p002_b32_e1_lam0p01_pinit0p01_fclip10p0,ok,ola,0.002,32,1,0.01,0.01,1e-8,10.0,0.001,0.05,60,60,0.8359,0.8359,0.8344,0.6900150036811828,0.6900150036811828,0.7036802910804748,0.22002843993008137,0.22002843993008137,0.2269407263427973,0.6900150036811828,0.9558769335471563,9.891928013235292,0.0018165478212185068,outputs/tune_ola_mnist_noniid_unbalanced_fixed/ola_lr0p002_b32_e1_lam0p01_pinit0p01_fclip10p0
40,ola_lr0p002_b64_e2_lam0p001_pinit0p01_fclip10p0,ok,ola,0.002,64,2,0.001,0.01,1e-8,10.0,0.001,0.05,60,60,0.8358,0.8358,0.834,0.6781879673004151,0.6781879673004151,0.6926234462738037,0.2119711881697178,0.2119711881697178,0.21866503453701736,0.6781879673004151,0.9602354465846851,9.900964415554824,0.0018146496348139945,outputs/tune_ola_mnist_noniid_unbalanced_fixed/ola_lr0p002_b64_e2_lam0p001_pinit0p01_fclip10p0
41,ola_lr0p002_b64_e2_lam0p05_pinit0p01_fclip10p0,ok,ola,0.002,64,2,0.05,0.01,1e-8,10.0,0.001,0.05,60,60,0.8358,0.8358,0.834,0.6781879576683044,0.6781879576683044,0.6926234428405762,0.21197118952125313,0.21197118952125313,0.21866503229439258,0.6781879576683044,0.9602354465846851,9.900964415683672,0.0018146496348139945,outputs/tune_ola_mnist_noniid_unbalanced_fixed/ola_lr0p002_b64_e2_lam0p05_pinit0p01_fclip10p0
42,ola_lr0p002_b64_e2_lam0p01_pinit0p01_fclip10p0,ok,ola,0.002,64,2,0.01,0.01,1e-8,10.0,0.001,0.05,60,60,0.8358,0.8358,0.834,0.6781879593849182,0.6781879593849182,0.6926234466552734,0.2119711906850338,0.2119711906850338,0.21866503651142125,0.6781879593849182,0.960235446584685,9.900964414922289,0.001814650009876561,outputs/tune_ola_mnist_noniid_unbalanced_fixed/ola_lr0p002_b64_e2_lam0p01_pinit0p01_fclip10p0
43,ola_lr0p001_b32_e2_lam0p001_pinit0p001_fclip10p0,ok,ola,0.001,32,2,0.001,0.001,1e-8,10.0,0.001,0.05,60,60,0.8355,0.8355,0.8204,0.6787960782527923,0.6787960782527923,0.7676853671073913,0.21229556876569988,0.21229556876569988,0.24828303304612634,0.6787960782527923,0.9514956143367568,29.441203309602468,0.0006092690257072338,outputs/tune_ola_mnist_noniid_unbalanced_fixed/ola_lr0p001_b32_e2_lam0p001_pinit0p001_fclip10p0
44,ola_lr0p001_b32_e2_lam0p01_pinit0p001_fclip10p0,ok,ola,0.001,32,2,0.01,0.001,1e-8,10.0,0.001,0.05,60,60,0.8355,0.8355,0.8204,0.6787960782527923,0.6787960782527923,0.7676853671073913,0.21229556876569988,0.21229556876569988,0.24828303304612634,0.6787960782527923,0.9514956143367568,29.441203309602468,0.0006092690257072338,outputs/tune_ola_mnist_noniid_unbalanced_fixed/ola_lr0p001_b32_e2_lam0p01_pinit0p001_fclip10p0
