round,num_clients,num_examples,client_id,effective_prior_lambda,local_steps,lr,posterior_mean_abs_mean,posterior_precision_max,posterior_precision_mean,posterior_precision_min,posterior_sigma_mean,prior_loss,server_round,task_loss,train_accuracy,train_loss,update_l2,update_max_abs,update_rms,variance_floor_fraction
11,20,680.9085512594256,11.712658430932136,0.10000000000000003,218.0555109898925,0.02,0.013152547287776085,6.981121478485445,0.0028421860168520046,1.6408045983105218e-13,471.81705969161214,0.00477975232360395,11.0,0.83646925574026,0.7039627787582222,0.836947230061586,0.7278317970653295,0.07305731419273666,0.0007868667978484987,0.0
12,20,680.9085512594256,11.712658430932136,0.1,218.0555109898925,0.02,0.012922689101445025,7.122695018521056,0.0030582209924987537,1.6408045983105218e-13,469.9420133112376,0.00456127309380835,12.0,0.8254586437446636,0.709626183218354,0.8259147707398004,0.7335630118578069,0.0697693362486615,0.0007930628759117578,0.0
13,20,680.9085512594256,11.712658430932136,0.1,218.0555109898925,0.02,0.012718071364330568,7.556487340328878,0.0032751513133555295,1.6408045983105218e-13,468.284404508196,0.004485813312487401,13.0,0.8183412139528559,0.7142307075244666,0.81878979539646,0.7285406310952524,0.0679150608746395,0.0007876331259555978,0.0
14,20,680.9085512594256,11.712658430932136,0.1,218.0555109898925,0.02,0.012534367515632914,7.757941035805134,0.003493021327900533,1.6408045983105218e-13,466.74940630153395,0.00442078124092961,14.0,0.8081575380296073,0.7163645114712017,0.8085996160549349,0.7380282700538872,0.0732659238944816,0.0007978903146585714,0.0
15,20,680.9085512594256,11.712658430932136,0.1,218.0555109898925,0.02,0.012367425284052698,8.295786207261216,0.0037132323580985585,1.6408045983105218e-13,465.3356517153498,0.004206541006273903,15.0,0.8016803407442429,0.7181453553665971,0.8021009951824533,0.7280795898445043,0.0700688045498802,0.0007871346892919138,0.0
16,20,680.9085512594256,11.712658430932136,0.1,218.0555109898925,0.02,0.012216069749145039,8.416825165741711,0.003931408473580062,1.6408045983105218e-13,464.07143422380926,0.004200938832650087,16.0,0.7885112403171934,0.7228621851435906,0.7889313351102658,0.7418538030316456,0.06820734493827697,0.0008020261395791231,0.0
17,20,680.9085512594256,11.712658430932136,0.1,218.0555109898925,0.02,0.012077409426150007,8.838669009983645,0.0041567418956797355,1.6408045983105218e-13,462.89028896301704,0.003964554759287137,17.0,0.7849447112970956,0.7253649927803626,0.7853411667232415,0.7419411119426235,0.07188529449984367,0.0008021205301834928,0.0
18,20,680.9085512594256,11.712658430932136,0.1,218.0555109898925,0.02,0.011950134267046338,9.393761707656594,0.00438122875532534,1.6408045983105218e-13,461.79401471880436,0.0038673677942282648,18.0,0.7767966255929319,0.7280603240815017,0.7771833623085426,0.7420428116491959,0.06725214402384538,0.0008022304788320347,0.0
19,20,680.9085512594256,11.712658430932136,0.09999999999999999,218.0555109898925,0.02,0.011831833524711474,9.828573498204912,0.004606789279910209,1.6408045983105218e-13,460.79602391373777,0.0038603957181485974,19.0,0.7701485027111892,0.7305470880795764,0.770534542205878,0.738600126360733,0.06392827176768497,0.0007985085546733821,0.0
20,20,680.9085512594256,11.712658430932136,0.10000000000000003,218.0555109898925,0.02,0.011722971208777503,10.312072680770308,0.0048328706747850485,1.6408045983105218e-13,459.85449035433635,0.0036895247633760876,20.0,0.7608266425447068,0.7337397721803303,0.7611955948911231,0.7430883607581266,0.06281947896192913,0.0008033608332389934,0.0
21,20,680.9085512594256,11.712658430932136,0.1,218.0555109898925,0.019999999999999997,0.011621676514025646,10.806732506693107,0.005056713989447324,1.6408045983105218e-13,458.9592417305364,0.003524499529962755,21.0,0.7548633324474839,0.7359056634044602,0.7552157831613914,0.7245805778338277,0.06823746634226788,0.0007833518697069825,0.0
22,20,680.9085512594256,11.712658430932136,0.1,218.0555109898925,0.02,0.011527574540993563,11.611484708897704,0.005289560462309501,1.6408045983105218e-13,458.10956419830705,0.003475548182023387,22.0,0.7492051744936986,0.7360500561527353,0.749552728895163,0.7296101015786088,0.07348989103256595,0.0007887893420181898,0.0
23,20,680.9085512594256,11.712658430932136,0.09999999999999999,218.0555109898925,0.02,0.011438870041228707,12.388702641974746,0.005516743770286206,1.6408045983105218e-13,457.31883042361505,0.0034571191570714472,23.0,0.7436349219766746,0.7395475693887374,0.7439806337281704,0.7368324980546269,0.0621224460848717,0.0007965975526662972,0.0
24,20,680.9085512594256,11.712658430932136,0.10000000000000003,218.0555109898925,0.02,0.011356537087078974,13.007294461449057,0.005748993198710249,1.6408045983105218e-13,456.52994715948984,0.003341702155707666,24.0,0.741417583507185,0.7390983475052142,0.741751753857466,0.7265473460478021,0.06647543324411308,0.0007854781640141017,0.0
25,20,680.9085512594256,11.712658430932136,0.09999999999999999,218.0555109898925,0.020000000000000004,0.01127945013604343,13.599733717116807,0.005984703142724628,1.6408045983105218e-13,455.8015566346986,0.0034124019673932504,25.0,0.7332083863584982,0.7420022461094176,0.7335496264012146,0.7375989825247383,0.06134542597754511,0.0007974262072854398,0.0
26,20,680.9085512594256,11.712658430932136,0.1,218.0555109898925,0.02,0.011206134100423143,14.34916910856661,0.006219470132901554,1.6408045983105218e-13,455.11822811789546,0.003248000091141391,26.0,0.7301714980254599,0.7423552061607571,0.7304962981199421,0.7290421171293989,0.06330327998046487,0.0007881752879103867,0.0
27,20,680.9085512594256,11.712658430932136,0.1,218.0555109898925,0.02,0.011137416300348367,15.046806805783705,0.006450611420213797,1.6408045983105218e-13,454.45380266573625,0.003179875250993946,27.0,0.7233152525635435,0.746157548532007,0.7236332403691644,0.735962172519241,0.06424061811865141,0.0007956566343526483,0.0
28,20,680.9085512594256,11.712658430932136,0.1,218.0555109898925,0.02,0.011074163035732942,15.639466505725407,0.006691979424679528,1.6408045983105218e-13,453.79523519183846,0.0031709320078003337,28.0,0.7165975123064732,0.7461254612546127,0.7169146047547681,0.7348605536793409,0.0651125173932684,0.0007944656623554135,0.0
29,20,680.9085512594256,11.712658430932136,0.10000000000000003,218.0555109898925,0.02,0.01101277632638805,16.369645726292507,0.006928954321236414,1.6408045983105218e-13,453.20664839306136,0.0031072951798420206,29.0,0.7160407211498854,0.7468634686346863,0.7163514512921128,0.7390128552586386,0.05955347188233077,0.000798954760331865,0.0
30,20,680.9085512594256,11.712658430932136,0.1,218.0555109898925,0.019999999999999997,0.010955540446978437,17.042457706641752,0.007170358122757071,1.6408045983105218e-13,452.6238986493597,0.003008888955608627,30.0,0.7104619032823921,0.748901010749238,0.7107627927797379,0.7454160366226542,0.06188145885445726,0.0008058773086957338,0.0
31,20,680.9085512594256,11.712658430932136,0.09999999999999999,218.0555109898925,0.02,0.010901259848476062,17.586200029571156,0.007406574342660343,1.6408045983105218e-13,452.08595386485354,0.0029920522714089273,31.0,0.7006414239050528,0.7533130113909833,0.7009406289793688,0.743520394043262,0.060589228470291426,0.0008038279090785065,0.0
32,20,680.9085512594256,11.712658430932136,0.09999999999999999,218.0555109898925,0.02,0.010849707337691576,18.222726684807775,0.007642170184657261,1.6408045983105218e-13,451.56738621808285,0.0029135151048030154,32.0,0.6943091184224772,0.7559441681373336,0.6946004693978373,0.74096928246978,0.055719189168925695,0.000801069874869402,0.0
33,20,680.9085512594256,11.712658430932136,0.09999999999999999,218.0555109898925,0.02,0.010801677845124038,18.883532231718124,0.007889654502983307,1.6408045983105218e-13,451.06358620643755,0.002799230416634606,33.0,0.6921082962369202,0.7532648804748918,0.6923882199310576,0.7363239072256811,0.054496618965842375,0.0007960477096412999,0.0
34,20,680.9085512594256,11.712658430932136,0.1,218.0555109898925,0.02,0.010756238095610618,19.470390216087466,0.00813786620836911,1.6408045983105218e-13,450.5656729309522,0.0027891124858839727,34.0,0.6896884784465226,0.7560725172469117,0.6899673895589732,0.7453832547035104,0.058636922676749165,0.0008058418678097377,0.0
35,20,680.9085512594256,11.712658430932136,0.1,218.0555109898925,0.020000000000000004,0.010712699891578211,20.234388744966875,0.008386953597994346,1.6408045983105218e-13,450.0929255164147,0.0027276309293085875,35.0,0.6813042434727629,0.758976415851115,0.6815770065467807,0.7414957396086903,0.061920935745589635,0.0008016390333546033,0.0
36,20,680.9085512594256,11.712658430932136,0.09999999999999999,218.0555109898925,0.02,0.01067211677533392,20.8238271192737,0.008636709547232129,1.6408045983105218e-13,449.6200433422036,0.0026707280044210046,36.0,0.679728845264431,0.7598909032568589,0.6799959178761151,0.7453650829060885,0.05768382122906601,0.0008058222220837525,0.0
37,20,680.9085512594256,11.712658430932136,0.09999999999999999,218.0555109898925,0.020000000000000004,0.010632831019638009,21.571410870869546,0.00888945154845507,1.6408045983105218e-13,449.14214228460145,0.0026517648566233903,37.0,0.6726381237667036,0.7622653617840525,0.672903300294993,0.7406589036175032,0.058814979191960944,0.0008007343209480213,0.0
38,20,680.9085512594256,11.712658430932136,0.09999999999999999,218.0555109898925,0.02,0.010595682118792301,22.15592192073475,0.009137373337396282,1.6408045983105218e-13,448.7078315327574,0.002537457074830497,38.0,0.6694028285103565,0.7632761110219798,0.6696565750671963,0.7467737252163315,0.05532523226569672,0.0008073451204628065,0.0
39,20,680.9085512594256,11.712658430932136,0.1,218.0555109898925,0.020000000000000004,0.010560758056200072,22.772705191041997,0.009400218645342745,1.6408045983105218e-13,448.25698197821936,0.002528065999850595,39.0,0.6653284892549217,0.7649286058077971,0.665581295694113,0.7514853112822635,0.0541226822621708,0.0008124388669237829,0.0
40,20,680.9085512594256,11.712658430932136,0.09999999999999999,218.0555109898925,0.02,0.010527111085226212,23.389878178912756,0.009657773019852815,1.6408045983105218e-13,447.83669500445916,0.002410214371018497,40.0,0.6591711670025817,0.765794962297449,0.6594121884401323,0.7468670447164866,0.05284381733265042,0.0008074460091798975,0.0
