round,Nt,accuracy,loss,distortion,rho_ref,m0
154.0,46354.0,0.1811,2.263959192276001,0.002900877131706872,2.163801999838008e-08,160.0
155.0,46655.0,0.1816,2.261883812332153,0.0021155887468352497,3.0936208645542814e-08,160.0
156.0,46956.0,0.1823,2.2591863864898682,0.0019977063520918523,2.3153228623987575e-08,160.0
157.0,47257.0,0.1832,2.2573244194030764,0.0029196115080324155,1.993844936830506e-08,160.0
158.0,47558.0,0.1829,2.2569403762817384,0.002014201675114981,1.877823437575361e-08,160.0
159.0,47859.0,0.1835,2.255201055908203,0.0018772993905629646,2.1440697230178066e-08,160.0
160.0,48160.0,0.1882,2.2530802772521974,0.0023857582554649838,1.8025010541625938e-08,160.0
161.0,48461.0,0.189,2.2511344875335695,0.002426723560188182,3.963260545246639e-08,160.0
162.0,48762.0,0.187,2.2498874027252196,0.002151445730759634,3.312517563044365e-08,160.0
163.0,49063.0,0.1895,2.246983298110962,0.002675626932555281,1.9048072768669753e-08,160.0
164.0,49364.0,0.1927,2.2419155994415285,0.0017465197939396545,2.7019412453773815e-08,160.0
165.0,49665.0,0.1929,2.2425401969909666,0.0015832723107408635,1.8675813241589342e-08,160.0
166.0,49966.0,0.193,2.242322395324707,0.0021068474212056027,2.3916490018436818e-08,160.0
167.0,50267.0,0.1927,2.239758721923828,0.0019586285001187355,3.301999561672705e-08,160.0
168.0,50568.0,0.193,2.2396397369384764,0.002324890578965971,2.902528196685403e-08,160.0
169.0,50869.0,0.1929,2.2375641105651853,0.0022034162639635426,3.734791157286237e-08,160.0
170.0,51170.0,0.1913,2.2329367181777955,0.002344271632517859,2.801130738055411e-08,160.0
171.0,51471.0,0.1926,2.233528402519226,0.0025236602451798235,1.688060780477815e-08,160.0
172.0,51772.0,0.1923,2.2317979797363283,0.0019826009405547206,2.1006275127627197e-08,160.0
173.0,52073.0,0.1904,2.2299288217544557,0.00192197318815915,3.055201033286961e-08,160.0
174.0,52374.0,0.1916,2.230864973640442,0.0016753719489965987,2.2735886966190726e-08,160.0
175.0,52675.0,0.1904,2.2289670143127442,0.0023317914093385307,2.764908449889772e-08,160.0
176.0,52976.0,0.1944,2.225932035446167,0.002421318556126986,4.211479342655016e-08,160.0
177.0,53277.0,0.197,2.2230627433776857,0.0022966662966965173,3.118817587916565e-08,160.0
178.0,53578.0,0.1968,2.2208243467330933,0.002011249446043865,2.7220388911131407e-08,160.0
179.0,53879.0,0.1983,2.2167308753967285,0.002647487404186996,3.4400870259204804e-08,160.0
180.0,54180.0,0.1998,2.212499124145508,0.0024034711454490316,2.542540848552452e-08,160.0
181.0,54481.0,0.2,2.2088931003570558,0.002710216698444727,2.828965492906294e-08,160.0
182.0,54782.0,0.2004,2.207941061782837,0.00201258756163779,2.764224088720659e-08,160.0
183.0,55083.0,0.1985,2.2067235582351685,0.0024022119043540942,2.8117503858823855e-08,160.0
184.0,55384.0,0.1984,2.204908333969116,0.0022827564336744114,2.115509215610418e-08,160.0
185.0,55685.0,0.1992,2.203069762802124,0.0023120106555790504,3.097942135984291e-08,160.0
186.0,55986.0,0.202,2.1985173942565917,0.002407851741665168,2.7961371590148508e-08,160.0
187.0,56287.0,0.2,2.1985658863067625,0.00176412080697152,2.745190162716817e-08,160.0
188.0,56588.0,0.2021,2.1964781467437744,0.0018012187096666128,3.1964229847896713e-08,160.0
189.0,56889.0,0.2025,2.194371652984619,0.0018845804020991713,2.0542105147890546e-08,160.0
190.0,57190.0,0.2029,2.1892684192657472,0.002586540333576287,2.349407409962454e-08,160.0
191.0,57491.0,0.2048,2.1874098779678346,0.0024391318044083227,2.8077340816494335e-08,160.0
192.0,57792.0,0.205,2.185834641265869,0.0021243785261154382,1.867323778530654e-08,160.0
193.0,58093.0,0.2063,2.182843755340576,0.0022612077293585222,3.42206035132483e-08,160.0
194.0,58394.0,0.2064,2.179890071296692,0.001928697299249164,3.158958092861445e-08,160.0
195.0,58695.0,0.2069,2.1773561655044555,0.0018050088092224157,2.9625456201097585e-08,160.0
196.0,58996.0,0.2099,2.1718886909484865,0.0023055481448854553,3.35586002558767e-08,160.0
197.0,59297.0,0.2101,2.1703237176895143,0.0021577211294074865,2.4589639356814046e-08,160.0
198.0,59598.0,0.2107,2.1703701328277587,0.0018328777711688028,4.328057887746439e-08,160.0
199.0,59899.0,0.2107,2.166735276031494,0.002041907639116193,3.3788778471225844e-08,160.0
200.0,60200.0,0.215,2.1613969959259034,0.002076886507522187,3.8344282654093876e-08,160.0
201.0,60501.0,0.2148,2.1588414821624755,0.001939548013449071,2.8447985493612748e-08,160.0
202.0,60802.0,0.2161,2.156037205886841,0.0018344460201247664,2.7080683310799243e-08,160.0
203.0,61103.0,0.217,2.154099271965027,0.001980777651297477,3.469492845626842e-08,160.0
204.0,61404.0,0.2176,2.1505324089050295,0.0021645584889194176,3.491630576177328e-08,160.0
205.0,61705.0,0.2173,2.1466350032806396,0.002170431337390388,3.2511699478625225e-08,160.0
206.0,62006.0,0.217,2.144738552093506,0.0017683855271858457,3.960220864324213e-08,160.0
207.0,62307.0,0.2186,2.1403737331390382,0.0026132923699453215,2.586830391171098e-08,160.0
208.0,62608.0,0.2192,2.137205754470825,0.0022129754713002656,3.1787204657463146e-08,160.0
209.0,62909.0,0.2199,2.1334758701324463,0.0021316490526533094,2.384542741591554e-08,160.0
210.0,63210.0,0.2198,2.1335754024505613,0.0017659204661653765,4.3118030735980634e-08,160.0
