entity,num_examples,class_counts_0_to_9
client_152,158,"[0, 0, 52, 53, 0, 0, 53, 0, 0, 0]"
client_153,181,"[0, 0, 60, 60, 61, 0, 0, 0, 0, 0]"
client_154,146,"[49, 0, 0, 0, 0, 0, 0, 0, 49, 48]"
client_155,187,"[62, 0, 0, 0, 0, 0, 62, 0, 63, 0]"
client_156,144,"[0, 0, 48, 0, 0, 0, 0, 48, 48, 0]"
client_157,183,"[0, 0, 0, 61, 61, 0, 0, 61, 0, 0]"
client_158,153,"[51, 0, 0, 51, 0, 0, 0, 0, 51, 0]"
client_159,159,"[53, 0, 0, 0, 53, 53, 0, 0, 0, 0]"
client_160,171,"[0, 0, 57, 0, 57, 0, 0, 0, 57, 0]"
client_161,140,"[0, 0, 0, 0, 0, 0, 47, 0, 47, 46]"
client_162,167,"[0, 0, 0, 55, 56, 56, 0, 0, 0, 0]"
client_163,154,"[0, 0, 0, 0, 0, 52, 51, 0, 51, 0]"
client_164,156,"[0, 0, 0, 52, 52, 52, 0, 0, 0, 0]"
client_165,164,"[0, 55, 0, 54, 55, 0, 0, 0, 0, 0]"
client_166,147,"[0, 0, 0, 0, 0, 49, 0, 49, 0, 49]"
client_167,150,"[0, 0, 50, 50, 0, 0, 0, 0, 50, 0]"
client_168,158,"[0, 0, 0, 52, 0, 0, 53, 0, 53, 0]"
client_169,139,"[47, 0, 0, 0, 0, 46, 0, 0, 0, 46]"
client_170,133,"[0, 0, 0, 0, 44, 0, 0, 44, 45, 0]"
client_171,173,"[0, 0, 57, 0, 58, 0, 0, 0, 58, 0]"
client_172,162,"[54, 0, 0, 0, 0, 0, 0, 0, 54, 54]"
client_173,145,"[0, 0, 49, 48, 48, 0, 0, 0, 0, 0]"
client_174,138,"[0, 46, 0, 46, 0, 0, 0, 0, 0, 46]"
client_175,165,"[0, 0, 55, 0, 0, 55, 0, 55, 0, 0]"
client_176,145,"[0, 0, 49, 0, 48, 0, 0, 48, 0, 0]"
client_177,157,"[0, 52, 0, 0, 0, 0, 0, 53, 52, 0]"
client_178,158,"[0, 0, 0, 52, 53, 0, 0, 0, 53, 0]"
client_179,146,"[0, 48, 0, 0, 49, 0, 0, 49, 0, 0]"
client_180,152,"[50, 0, 0, 0, 51, 51, 0, 0, 0, 0]"
client_181,163,"[0, 0, 0, 55, 54, 54, 0, 0, 0, 0]"
client_182,171,"[0, 57, 57, 57, 0, 0, 0, 0, 0, 0]"
client_183,169,"[0, 0, 0, 0, 0, 0, 56, 0, 57, 56]"
client_184,170,"[0, 57, 56, 0, 0, 57, 0, 0, 0, 0]"
client_185,166,"[0, 0, 0, 0, 0, 56, 0, 0, 55, 55]"
client_186,152,"[0, 0, 0, 0, 0, 51, 51, 0, 50, 0]"
client_187,176,"[0, 59, 58, 0, 0, 0, 0, 59, 0, 0]"
client_188,164,"[0, 0, 0, 0, 54, 55, 0, 0, 0, 55]"
client_189,177,"[59, 0, 0, 0, 0, 0, 0, 0, 59, 59]"
client_190,156,"[0, 0, 52, 52, 0, 0, 0, 0, 52, 0]"
client_191,146,"[0, 49, 0, 48, 0, 0, 0, 0, 0, 49]"
client_192,156,"[52, 0, 52, 0, 0, 0, 0, 0, 52, 0]"
client_193,180,"[0, 0, 0, 60, 0, 60, 0, 0, 60, 0]"
client_194,159,"[53, 0, 0, 0, 0, 0, 53, 0, 53, 0]"
client_195,149,"[0, 50, 0, 0, 50, 0, 49, 0, 0, 0]"
client_196,168,"[56, 0, 0, 0, 0, 0, 56, 0, 0, 56]"
client_197,167,"[56, 0, 0, 0, 0, 0, 0, 55, 0, 56]"
client_198,153,"[51, 0, 51, 0, 0, 0, 0, 51, 0, 0]"
client_199,167,"[56, 0, 0, 0, 0, 55, 0, 0, 56, 0]"
client_200,140,"[0, 0, 0, 0, 47, 46, 0, 47, 0, 0]"
client_201,156,"[0, 0, 0, 0, 52, 0, 52, 52, 0, 0]"
client_202,157,"[0, 0, 53, 0, 52, 0, 52, 0, 0, 0]"
client_203,173,"[58, 0, 0, 0, 0, 57, 0, 58, 0, 0]"
client_204,168,"[0, 56, 56, 0, 0, 0, 0, 0, 0, 56]"
client_205,146,"[0, 49, 0, 0, 0, 0, 0, 0, 48, 49]"
client_206,155,"[0, 0, 0, 51, 0, 52, 52, 0, 0, 0]"
client_207,171,"[0, 0, 57, 0, 57, 57, 0, 0, 0, 0]"
client_208,149,"[50, 0, 0, 0, 50, 0, 0, 0, 49, 0]"
client_209,168,"[0, 0, 56, 0, 0, 56, 0, 0, 0, 56]"
client_210,156,"[0, 52, 52, 52, 0, 0, 0, 0, 0, 0]"
client_211,150,"[50, 50, 0, 0, 0, 0, 50, 0, 0, 0]"
client_212,162,"[0, 0, 54, 0, 54, 0, 0, 0, 54, 0]"
client_213,146,"[48, 49, 0, 0, 0, 0, 0, 49, 0, 0]"
client_214,136,"[46, 0, 0, 0, 45, 45, 0, 0, 0, 0]"
client_215,162,"[0, 0, 0, 0, 0, 54, 0, 54, 54, 0]"
client_216,175,"[0, 58, 0, 0, 58, 0, 59, 0, 0, 0]"
client_217,160,"[0, 0, 53, 0, 0, 54, 0, 0, 53, 0]"
client_218,160,"[0, 0, 53, 54, 53, 0, 0, 0, 0, 0]"
client_219,164,"[0, 0, 0, 0, 54, 0, 0, 55, 55, 0]"
client_220,159,"[0, 0, 53, 0, 0, 0, 53, 53, 0, 0]"
client_221,178,"[0, 60, 0, 0, 0, 59, 0, 0, 59, 0]"
client_222,161,"[54, 0, 0, 0, 0, 54, 53, 0, 0, 0]"
client_223,155,"[51, 0, 0, 0, 52, 0, 0, 0, 0, 52]"
client_224,139,"[0, 0, 0, 0, 0, 47, 0, 46, 46, 0]"
client_225,148,"[0, 0, 0, 0, 49, 50, 0, 0, 49, 0]"
client_226,147,"[0, 0, 49, 49, 0, 0, 0, 0, 49, 0]"
client_227,159,"[0, 53, 0, 0, 53, 0, 0, 53, 0, 0]"
client_228,173,"[0, 0, 58, 58, 0, 0, 0, 0, 57, 0]"
client_229,176,"[0, 0, 0, 0, 0, 0, 0, 59, 58, 59]"
client_230,146,"[49, 0, 0, 48, 49, 0, 0, 0, 0, 0]"
client_231,155,"[0, 0, 0, 52, 0, 0, 52, 0, 0, 51]"
client_232,150,"[50, 0, 50, 0, 0, 50, 0, 0, 0, 0]"
client_233,164,"[0, 0, 0, 0, 0, 55, 0, 0, 55, 54]"
client_234,161,"[0, 0, 53, 54, 0, 0, 0, 54, 0, 0]"
client_235,165,"[0, 0, 55, 55, 0, 0, 0, 0, 0, 55]"
client_236,141,"[0, 0, 0, 0, 47, 0, 0, 47, 47, 0]"
client_237,168,"[56, 56, 0, 0, 0, 56, 0, 0, 0, 0]"
client_238,166,"[0, 56, 0, 0, 55, 0, 0, 0, 55, 0]"
client_239,179,"[0, 0, 0, 60, 0, 0, 0, 59, 0, 60]"
client_240,140,"[0, 46, 0, 47, 0, 0, 0, 47, 0, 0]"
client_241,156,"[0, 0, 52, 52, 0, 0, 52, 0, 0, 0]"
client_242,170,"[0, 57, 0, 57, 0, 0, 0, 56, 0, 0]"
