schema_version,run_id,round,method,physical_client_id,virtual_client_id,num_examples,num_batches,local_epochs,batch_size,train_loss,task_loss,prior_loss,regularization_loss,accuracy_local_train_estimate,loss_local_train_estimate,update_l2_norm,update_linf_norm,update_cosine_to_global,drift_from_global_before_l2,drift_from_global_after_l2,label_entropy,kl_to_global_label_distribution,vi_elbo_loss,vi_kl_loss,vi_likelihood_loss,vi_complexity_cost,vi_loc_l2,vi_scale_mean,vi_scale_p50,vi_scale_p90,vi_scale_max,vi_snr_raw_mean,vi_snr_raw_p50,vi_snr_raw_p90,ola_task_loss,ola_prior_loss,ola_fisher_mean,ola_fisher_p50,ola_fisher_p90,ola_fisher_max,ola_precision_mean,ola_precision_p50,ola_precision_p90,ola_sigma_mean,ola_sigma_p50,ola_sigma_p90,ola_snr_raw_mean,ola_snr_raw_p50,ola_snr_raw_p90,channel_snr_db,pathloss_db,rate_mbps,delay_ms,energy_j,ota_contribution_norm,digital_payload_bytes,communication_success,num_examples_seen,num_examples_train
bayesfl_observability_v1,debug_fedavg_mnist_cf005,3,fedavg,236,18,41,2,1,32,2.9643606209173434,2.9643606209173434,0.0,0.0,0.24390243902439024,2.9643606209173434,0.32502105621034144,0.04658638685941696,0.9988710174583462,0.32502105621034144,,1.0353574001541463,1.2518665823368382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,41
bayesfl_observability_v1,debug_fedavg_mnist_cf005,3,fedavg,87,7,39,2,1,32,3.1447075574825973,3.1447075574825973,0.0,0.0,0.1282051282051282,3.1447075574825973,0.3236788168554593,0.04432959854602814,0.9988803784256634,0.3236788168554593,,0.4377023180952629,1.8840029267722176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,39
bayesfl_observability_v1,debug_fedavg_mnist_cf005,3,fedavg,260,20,217,7,1,32,0.7301691254163118,0.7301691254163118,0.0,0.0,0.8248847926267281,0.7301691254163118,0.41888782828943993,0.05516626685857773,0.9981360358580246,0.41888782828943993,,0.6044081348942495,1.6077125747920737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.0,217
bayesfl_observability_v1,debug_fedavg_mnist_cf005,3,fedavg,6,0,230,8,1,32,1.3282483629558397,1.3282483629558397,0.0,0.0,0.5956521739130435,1.3282483629558397,0.5103340728633025,0.06216005980968475,0.9972275632777978,0.5103340728633025,,1.0431642721063052,1.257328427832494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.0,230
bayesfl_observability_v1,debug_fedavg_mnist_cf005,3,fedavg,34,2,89,3,1,32,2.165559836987699,2.165559836987699,0.0,0.0,0.38202247191011235,2.165559836987699,0.3776867480364832,0.045937009155750275,0.998476285827421,0.3776867480364832,,0.9392429968990706,1.3654484544000312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,89
bayesfl_observability_v1,debug_fedavg_mnist_cf005,3,fedavg,239,19,46,2,1,32,2.8948114125624946,2.8948114125624946,0.0,0.0,0.021739130434782608,2.8948114125624946,0.2891685102292314,0.03746774047613144,0.9991062252377066,0.2891685102292314,,0.9560443809671457,1.3493424985245688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,46
bayesfl_observability_v1,debug_fedavg_mnist_cf005,3,fedavg,249,19,148,5,1,32,1.5238995922578347,1.5238995922578347,0.0,0.0,0.6554054054054054,1.5238995922578347,0.5085057107590025,0.06799183040857315,0.9972427765469974,0.5085057107590025,,0.8084292285499561,1.5072994420910157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.0,148
bayesfl_observability_v1,debug_fedavg_mnist_cf005,3,fedavg,299,23,48,2,1,32,1.0415799121061962,1.0415799121061962,0.0,0.0,0.75,1.0415799121061962,0.23190865543273284,0.0437818244099617,0.9994273680556459,0.23190865543273284,,-0.0,2.185987945410232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,48
bayesfl_observability_v1,debug_fedavg_mnist_cf005,3,fedavg,204,16,2,1,1,32,1.9845175743103027,1.9845175743103027,0.0,0.0,0.5,1.9845175743103027,0.16999087631716436,0.017576687037944794,0.9996914225198935,0.16999087631716436,,0.6931471805599453,1.5580197962672118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2
bayesfl_observability_v1,debug_fedavg_mnist_cf005,3,fedavg,16,1,369,12,1,32,0.4815420411365627,0.4815420411365627,0.0,0.0,0.8861788617886179,0.4815420411365627,0.46831953930664605,0.08412104845046997,0.9976630778208078,0.46831953930664605,,0.1490487639578261,2.177886214364074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.0,369
bayesfl_observability_v1,debug_fedavg_mnist_cf005,3,fedavg,18,1,406,13,1,32,1.043199926467952,1.043199926467952,0.0,0.0,0.7438423645320197,1.043199926467952,0.5260293298700118,0.06907521933317184,0.9970584540953058,0.5260293298700118,,0.93387416116756,1.3882321409892098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406.0,406
