round,num_examples,train_loss,task_loss,train_accuracy,complexity_per_weight,resolved_kl_weight,effective_kl_weight,variance_floor_fraction,bayesian_dimension,lr,local_steps,rho_grad_l2_mean,rho_grad_nonzero_fraction,rho_update_l2,update_l2,update_rms,update_max_abs,posterior_mu_abs_mean,posterior_sigma_mean,posterior_sigma_min,posterior_sigma_max,posterior_snr_mean,client_id,server_round
2,103.0,1.4597961902618408,1.3554157614707947,0.6660194174757281,2.5304662049009172,1.1743788123272196e-06,4.844253811361779e-08,0.0,851514.0,0.009999846564125248,10.0,0.1790019800702493,1.0,0.0035872328444377082,0.9589203628631984,0.0007339290490632721,0.13313423097133636,0.07971900595496483,0.04881526843623195,0.030997552440281205,0.07758817363664464,1.6486200230927122,11.0,2.0
2,3337.0,0.13849685470572767,0.013238996769948028,0.9961941863949655,2.53064358394664,1.1743788123272196e-06,1.5694441717004132e-06,0.0,851514.0,0.009999846564125248,270.0,0.004047492348778564,1.0,0.005999579473760894,2.2370502562729886,0.001712171553423787,0.3397816866636276,0.07973277788214948,0.048815268565062804,0.030997552440281205,0.07758840502445183,1.6488924500320497,17.0,2.0
2,6619.0,1.261691432316906,1.132683576583358,0.4416074935790905,2.5307313113195127,1.1743788123272196e-06,3.113020968679963e-06,0.0,851514.0,0.009999846564125248,520.0,0.05062496902846008,1.0,0.018807608632252632,3.3927169733500406,0.002596684394684034,0.42152275145053864,0.07976579588727185,0.04881525855489759,0.030997552440281205,0.07758822703377202,1.6495934093029985,1.0,2.0
2,877.0,1.0370994669409679,0.9101232250780716,0.7733181299885975,2.5306967228791466,1.1743788123272196e-06,4.124670478217747e-07,0.0,851514.0,0.009999846564125248,70.0,0.07839602059796226,1.0,0.008905321215566185,1.3528505808324556,0.0010354314902130284,0.1831210209056735,0.07972516932758547,0.04881526780314804,0.030997552440281205,0.07758840502445183,1.6487440100490762,0.0,2.0
2,2926.0,0.9848794027500909,0.8559436568192074,0.6360218728639782,2.530726937421236,1.1743788123272196e-06,1.3761443351499577e-06,0.0,851514.0,0.009999846564125248,230.0,0.07561506602896609,1.0,0.015031047133513149,2.0872113276067745,0.0015974893058800011,0.18250182271003723,0.07973666981070056,0.04881526383332437,0.030997552440281205,0.07758820923472563,1.6489885180199226,14.0,2.0
2,3768.0,1.19814636545323,1.070852322310146,0.623328025477707,2.530676832676857,1.1743788123272196e-06,1.7721503263311826e-06,0.0,851514.0,0.009999846564125248,300.0,0.06492162616537493,1.0,0.016063725589477877,2.094139628788356,0.0016027920209903982,0.24722785502672195,0.0797392286404587,0.04881526184251557,0.030997552440281205,0.07758858301552433,1.6490286003786905,13.0,2.0
2,2383.0,1.0498309061875426,0.92271823314774,0.7656315568610994,2.5306769456335547,1.1743788123272196e-06,1.1207627992694289e-06,0.0,851514.0,0.009999846564125248,190.0,0.05878164417915596,1.0,0.009896945138821498,1.5140647685168083,0.0011588200217792985,0.1746416725218296,0.07972964176568093,0.048815265373409474,0.030997552440281205,0.07758865421206329,1.648835409577915,15.0,2.0
2,1029.0,1.6058010356535137,1.4899210324150711,0.5063168124392614,2.5307712922055443,1.1743788123272196e-06,4.839550652321622e-07,0.0,851514.0,0.009999846564125248,90.0,0.10636012580853736,1.0,0.011231958122014166,1.9625962473199816,0.0015021126396668168,0.24881751276552677,0.0797315200604894,0.048815264726651375,0.030997552440281205,0.07758804904348487,1.6488782971164084,18.0,2.0
2,459.0,1.3194029634814377,1.2031108090300966,0.5200435729847495,2.530559032206164,1.1743788123272196e-06,2.1587499994320937e-07,0.0,851514.0,0.009999846564125248,40.0,0.12777926276182536,1.0,0.007444520541915389,1.657818151436683,0.0012688445740903893,0.1667601615190506,0.07972909938598371,0.048815267850455035,0.030997552440281205,0.07758870760950874,1.648821141115625,9.0,2.0
3,877.0,1.0049319526080802,0.8779622051843624,0.801254275940707,2.53056458429171,1.1743788123272196e-06,4.124670478217747e-07,0.0,851514.0,0.009999386266013143,70.0,0.05132699620955345,1.0,0.0051795835568332095,1.1524280909580769,0.000882034093410244,0.16331744194030762,0.07973335536664579,0.048815260335891376,0.030997552440281205,0.07758840502445183,1.6489131397286827,0.0,3.0
3,103.0,1.3268034219741822,1.2224156618118287,0.6815533980582524,2.5306434773826383,1.1743788123272196e-06,4.844253811361779e-08,0.0,851514.0,0.009999386266013143,10.0,0.1189520806481092,1.0,0.0024438588551503543,0.9158291830120351,0.0007009483450590851,0.13488312810659409,0.07972742136417714,0.048815261504206474,0.030997552440281205,0.07758828043093473,1.6487929087892765,11.0,3.0
3,3511.0,1.0960107527713563,0.9689241909906077,0.6663913414981487,2.53073036463791,1.1743788123272196e-06,1.6512791389991462e-06,0.0,851514.0,0.009999386266013143,280.0,0.04364708972480401,1.0,0.010917680872984942,2.0270520384101425,0.0015514451799834845,0.2674083970487118,0.07974679391335046,0.04881525722761505,0.030997552440281205,0.07758829822999683,1.6491942105715311,10.0,3.0
