label,method,model,metric,round,accuracy_percent,run_dir
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,68,70.36,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,69,71.35000000000001,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,70,70.61,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,71,71.13000000000001,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,72,71.28999999999999,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,73,71.45,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,74,71.26,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,75,71.69,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,76,71.65,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,77,71.41,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,78,72.09,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,79,71.63000000000001,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,80,71.61,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,81,71.83,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,82,71.37,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,83,72.38,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,84,72.16,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,85,72.22,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,86,72.54,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,87,72.39999999999999,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,88,72.1,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,89,72.64,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,90,72.43,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,91,72.53,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,92,73.36,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,93,72.11999999999999,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,94,72.72999999999999,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,95,72.59,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,96,72.91,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,97,72.99,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,98,72.8,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,99,72.61999999999999,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,100,73.49,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,101,72.63,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,102,73.55000000000001,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,103,73.36,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,104,73.69,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,105,72.77,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,106,73.72,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,107,72.99,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,108,73.66,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,109,73.55000000000001,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,110,73.35000000000001,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,111,73.81,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,112,73.46000000000001,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,113,73.22999999999999,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,114,74.02,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,115,74.46000000000001,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,116,73.75,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,117,74.18,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,118,74.29,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,119,74.08,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,120,73.71,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,121,74.22999999999999,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,122,74.41,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,123,74.17,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,124,74.26,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,125,74.27,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,126,74.29,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,127,74.28,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,128,74.6,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,129,74.28,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,130,74.32,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,131,74.71,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,132,74.6,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,133,74.38,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,134,74.51,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,135,74.89,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
