run_id,round,logical_round,physical_round,phase,client_id,num_examples,distance_m,train_loss,phase1_loss,phase2_loss,local_steps,local_precision_mean,local_precision_min,local_precision_max,local_precision_delta_l2,local_precision_delta_max_abs,local_precision_changed_fraction,local_precision_gradient_l2_mean,local_precision_gradient_max_abs,local_nu_l2,local_implied_mean_l2
fig5_power_33dbm_proposed_rep00_seed2025,202,202,403,precision,33,8,198.5432705547321,0.0011126597722371419,0.0011126597722371419,0.0,3,400.00001244282834,399.9999692640938,400.00097626708146,1.075729572922183e-05,3.24785531802263e-06,0.9489943385124207,3.95236996084019e-05,3.207716218265135e-05,0.0,0.0
fig5_power_33dbm_proposed_rep00_seed2025,202,202,403,precision,34,9,55.107426757844614,0.000618228205928096,0.000618228205928096,0.0,3,400.000012442794,399.9999692680101,400.0009758921747,7.197832949389155e-06,1.82837953843773e-06,0.9346550107002258,3.106581961532004e-05,1.8422210424630978e-05,0.0,0.0
fig5_power_33dbm_proposed_rep00_seed2025,202,202,403,precision,35,7,95.02569977212417,0.002960277739025298,0.002960277739025298,0.0,3,400.0000124432872,399.9999692659841,400.00097626741683,1.8071076021745702e-05,6.578629950126924e-06,0.945176899433136,7.264698960538792e-05,6.525743016739932e-05,0.0,0.0
fig5_power_33dbm_proposed_rep00_seed2025,202,202,403,precision,36,6,116.83651709908216,0.0007078276740180122,0.0007078276740180122,0.0,3,400.00001244247034,399.9999692656173,400.00097626768394,3.7566079547366595e-06,1.08217966499069e-06,0.9315272569656372,1.7658818134431647e-05,1.0693382732815683e-05,0.0,0.0
fig5_power_33dbm_proposed_rep00_seed2025,202,202,403,precision,37,6,108.23236193714787,0.000820975833468967,0.000820975833468967,0.0,3,400.0000124424893,399.9999692726469,400.0009764406786,4.728502262649706e-06,1.537195430501015e-06,0.9102749228477478,1.799503800562873e-05,1.5703314574842e-05,0.0,0.0
fig5_power_33dbm_proposed_rep00_seed2025,202,202,403,precision,38,7,85.6473774244725,0.01138913290841239,0.01138913290841239,0.0,3,400.0000124466284,399.9999693058795,400.000976038504,5.8231344747159814e-05,1.4430446526603191e-05,0.9328264594078064,0.00021345344070912325,0.00014341422313810887,0.0,0.0
fig5_power_33dbm_proposed_rep00_seed2025,202,202,403,precision,39,14,67.09758279224906,0.007510566506685531,0.007510566506685531,0.0,6,400.0000124518868,399.99996854090745,400.00097626942875,0.00016681568051387215,4.951356277160812e-05,0.9494433999061584,0.00040503908927423167,0.0005627169377660378,0.0,0.0
fig5_power_33dbm_proposed_rep00_seed2025,202,202,404,natural_mean,0,12,15.515846861202073,0.0002805601327745624,0.0,0.0002805601327745624,6,400.00001244240735,399.99996927066167,400.0009762695687,nan,nan,nan,nan,nan,8.630572319030762,8.630572319030762
fig5_power_33dbm_proposed_rep00_seed2025,202,202,404,natural_mean,1,14,115.21714582567645,0.0014146210436394224,0.0,0.0014146210436394224,6,400.00001244370173,399.9999692775219,400.0009753378452,nan,nan,nan,nan,nan,8.678730010986328,8.678730010986328
fig5_power_33dbm_proposed_rep00_seed2025,202,202,404,natural_mean,2,8,145.46847123647032,0.0001823555267650166,0.0,0.0001823555267650166,3,400.00001244244106,399.9999692512484,400.0009762700881,nan,nan,nan,nan,nan,8.623784065246582,8.623784065246582
fig5_power_33dbm_proposed_rep00_seed2025,202,202,404,natural_mean,3,12,71.99775189006189,0.023044994035132996,0.0,0.023044994035132996,6,400.00001246883585,399.99997076448784,400.00097475238067,nan,nan,nan,nan,nan,8.690399169921875,8.690399169921875
fig5_power_33dbm_proposed_rep00_seed2025,202,202,404,natural_mean,4,9,138.3951326144958,0.0034830073269989385,0.0,0.0034830073269989385,3,400.0000124432544,399.9999693035915,400.00097639601023,nan,nan,nan,nan,nan,8.655135154724121,8.655135154724121
fig5_power_33dbm_proposed_rep00_seed2025,202,202,404,natural_mean,5,10,168.85680085025976,0.0002478077768874352,0.0,0.0002478077768874352,3,400.0000124422926,399.99996927183275,400.0009762817314,nan,nan,nan,nan,nan,8.624320983886719,8.624320983886719
fig5_power_33dbm_proposed_rep00_seed2025,202,202,404,natural_mean,6,7,182.40375510728745,0.021598575280744974,0.0,0.021598575280744974,3,400.0000124463726,399.9999693774877,400.00097630356174,nan,nan,nan,nan,nan,8.698253631591797,8.698253631591797
fig5_power_33dbm_proposed_rep00_seed2025,202,202,404,natural_mean,7,9,105.40127870194036,0.0003417392002897511,0.0,0.0003417392002897511,3,400.0000124424626,399.99996926714573,400.0009762849921,nan,nan,nan,nan,nan,8.62464714050293,8.62464714050293
fig5_power_33dbm_proposed_rep00_seed2025,202,202,404,natural_mean,8,9,57.04335895729468,2.4986902079430255e-05,0.0,2.4986902079430255e-05,3,400.0000124422879,399.9999692723845,400.0009762676799,nan,nan,nan,nan,nan,8.622662544250488,8.622662544250488
fig5_power_33dbm_proposed_rep00_seed2025,202,202,404,natural_mean,9,15,21.428583832024906,0.0004173612631964109,0.0,0.0004173612631964109,6,400.00001245416405,399.99996922452607,400.00098473595324,nan,nan,nan,nan,nan,8.636186599731445,8.636186599731445
fig5_power_33dbm_proposed_rep00_seed2025,202,202,404,natural_mean,10,9,75.7029911927046,1.2028893579377281e-20,0.0,1.2028893579377281e-20,3,400.00001244228497,399.99996927229637,400.00097626769247,nan,nan,nan,nan,nan,8.622393608093262,8.622393608093262
fig5_power_33dbm_proposed_rep00_seed2025,202,202,404,natural_mean,11,7,161.42047636721563,0.0018901162117825887,0.0,0.0018901162117825887,3,400.0000124425857,399.9999692635086,400.00097626772595,nan,nan,nan,nan,nan,8.63319206237793,8.63319206237793
fig5_power_33dbm_proposed_rep00_seed2025,202,202,404,natural_mean,12,6,177.35252134800837,0.0005209005179229363,0.0,0.0005209005179229363,3,400.00001244231294,399.9999692720777,400.0009762676663,nan,nan,nan,nan,nan,8.6257905960083,8.6257905960083
fig5_power_33dbm_proposed_rep00_seed2025,202,202,404,natural_mean,13,7,168.68677480944623,5.395657652910816e-06,0.0,5.395657652910816e-06,3,400.00001244228497,399.9999692722963,400.00097626769247,nan,nan,nan,nan,nan,8.622446060180664,8.622446060180664
fig5_power_33dbm_proposed_rep00_seed2025,202,202,404,natural_mean,14,10,83.8575398584633,0.00023177704207376107,0.0,0.00023177704207376107,3,400.00001244231555,399.9999692736456,400.0009762676909,nan,nan,nan,nan,nan,8.624552726745605,8.624552726745605
fig5_power_33dbm_proposed_rep00_seed2025,202,202,404,natural_mean,15,9,173.59188910935526,0.00014547678429368988,0.0,0.00014547678429368988,3,400.00001244228974,399.99996927162505,400.0009762810209,nan,nan,nan,nan,nan,8.623677253723145,8.623677253723145
fig5_power_33dbm_proposed_rep00_seed2025,202,202,404,natural_mean,16,7,84.99246032160212,0.0011185896939926777,0.0,0.0011185896939926777,3,400.00001244796795,399.9999692540062,400.0009762676784,nan,nan,nan,nan,nan,8.629300117492676,8.629300117492676
fig5_power_33dbm_proposed_rep00_seed2025,202,202,404,natural_mean,17,8,104.36491700770118,0.04014403441659812,0.0,0.04014403441659812,3,400.00001244899283,399.9999691887129,400.000976189927,nan,nan,nan,nan,nan,8.694902420043945,8.694902420043945
fig5_power_33dbm_proposed_rep00_seed2025,202,202,404,natural_mean,18,14,7.751856010350353,0.00028252105502118047,0.0,0.00028252105502118047,6,400.0000124427366,399.9999692703204,400.00097626744935,nan,nan,nan,nan,nan,8.631857872009277,8.631857872009277
fig5_power_33dbm_proposed_rep00_seed2025,202,202,404,natural_mean,19,10,171.5300662845194,0.01700435059219242,0.0,0.01700435059219242,3,400.00001245616414,399.9999692668393,400.0009915641257,nan,nan,nan,nan,nan,8.694756507873535,8.694756507873535
fig5_power_33dbm_proposed_rep00_seed2025,202,202,404,natural_mean,20,11,126.97147872432721,0.00017429474189003375,0.0,0.00017429474189003375,6,400.00001244347993,399.9999691851331,400.0009766760026,nan,nan,nan,nan,nan,8.626051902770996,8.626051902770996
fig5_power_33dbm_proposed_rep00_seed2025,202,202,404,natural_mean,21,13,101.99862919511493,0.00023972942305583453,0.0,0.00023972942305583453,6,400.00001244601003,399.99996929184846,400.0009773509902,nan,nan,nan,nan,nan,8.630728721618652,8.630728721618652
fig5_power_33dbm_proposed_rep00_seed2025,202,202,404,natural_mean,22,8,129.28881133332294,6.803075799992013e-05,0.0,6.803075799992013e-05,3,400.0000124438034,399.9999692904586,400.00097626769247,nan,nan,nan,nan,nan,8.6229829788208,8.6229829788208
fig5_power_33dbm_proposed_rep00_seed2025,202,202,404,natural_mean,23,8,171.23858227173272,6.579662685735094e-05,0.0,6.579662685735094e-05,3,400.00001244228724,399.99996927226823,400.0009762676933,nan,nan,nan,nan,nan,8.622903823852539,8.622903823852539
fig5_power_33dbm_proposed_rep00_seed2025,202,202,404,natural_mean,24,11,187.0903725927333,8.596044790180183e-06,0.0,8.596044790180183e-06,6,400.0000124425725,399.9999693110631,400.00097558713526,nan,nan,nan,nan,nan,8.622636795043945,8.622636795043945
fig5_power_33dbm_proposed_rep00_seed2025,202,202,404,natural_mean,25,9,167.26437246836795,7.144342796449526e-05,0.0,7.144342796449526e-05,3,400.0000124423614,399.9999692771458,400.0009762465776,nan,nan,nan,nan,nan,8.62308120727539,8.62308120727539
fig5_power_33dbm_proposed_rep00_seed2025,202,202,404,natural_mean,26,9,178.58093759136403,0.0007272988776694335,0.0,0.0007272988776694335,3,400.0000124435898,399.9999692809746,400.0009762712379,nan,nan,nan,nan,nan,8.628889083862305,8.628889083862305
fig5_power_33dbm_proposed_rep00_seed2025,202,202,404,natural_mean,27,8,17.444508657180393,0.0017278586822815174,0.0,0.0017278586822815174,3,400.0000124496009,399.99996908102605,400.0009762615085,nan,nan,nan,nan,nan,8.633966445922852,8.633966445922852
fig5_power_33dbm_proposed_rep00_seed2025,202,202,404,natural_mean,28,8,150.655947433646,0.0012390677515504956,0.0,0.0012390677515504956,3,400.00001244299364,399.99996927109646,400.0009762602109,nan,nan,nan,nan,nan,8.628761291503906,8.628761291503906
