round,Nt,accuracy,loss,distortion,rho_ref,m0
46.0,13846.0,0.1001,2.3023876991271974,0.00018436005177885868,1.474958528194173e-11,20.0
47.0,14147.0,0.1002,2.302379470062256,0.00019411448959669248,1.5296054318538505e-11,20.0
48.0,14448.0,0.1001,2.302371202850342,0.00019974122993301327,1.5196898879381434e-11,20.0
49.0,14749.0,0.1002,2.3023627830505373,0.00020586900351749924,1.5200709170583026e-11,20.0
50.0,15050.0,0.1003,2.302354829406738,0.0002165327841053116,1.539817662686076e-11,20.0
51.0,15351.0,0.1002,2.302346859741211,0.00022797388250149847,1.5611592534382715e-11,20.0
52.0,15652.0,0.1001,2.30233837890625,0.00022850086314065996,1.6195821282978892e-11,20.0
53.0,15953.0,0.1002,2.302330530166626,0.00024042216100057128,1.623667668075764e-11,20.0
54.0,16254.0,0.1001,2.302321683502197,0.0002537114607699893,1.687079361377974e-11,20.0
55.0,16555.0,0.1001,2.3023131160736083,0.0002622630840331544,1.7259041820976945e-11,20.0
56.0,16856.0,0.0999,2.3023046447753908,0.0002748607802739586,1.7011768797323284e-11,20.0
57.0,17157.0,0.0999,2.302296704864502,0.00028844316096816565,1.711435477663481e-11,20.0
58.0,17458.0,0.0999,2.302288621520996,0.0003013382387752672,1.7511292473288912e-11,20.0
59.0,17759.0,0.0999,2.302280172729492,0.00032008246400944915,1.7618968214986472e-11,20.0
60.0,18060.0,0.0999,2.3022715766906736,0.0003300801938833692,1.8090658921174103e-11,20.0
61.0,18361.0,0.1,2.302263562011719,0.0003502943350490212,1.8586277506171815e-11,20.0
62.0,18662.0,0.1,2.3022558322906495,0.0003710179668039797,1.9131515550526514e-11,20.0
63.0,18963.0,0.1,2.3022483215332032,0.00038778555799146827,1.951897964749699e-11,20.0
64.0,19264.0,0.1,2.302241122817993,0.00041273873550486226,1.9958077682527674e-11,20.0
65.0,19565.0,0.1,2.302234027862549,0.00043910332902319713,2.0066771163091284e-11,20.0
66.0,19866.0,0.1,2.3022260833740233,0.00046214121931781896,2.0331630682797493e-11,20.0
67.0,20167.0,0.1,2.302219361495972,0.000496537986810015,2.091844651217337e-11,20.0
68.0,20468.0,0.1,2.302212870788574,0.0005227690355454966,2.154805613050184e-11,20.0
69.0,20769.0,0.1,2.302205135345459,0.0005594175296264977,2.1827326401370498e-11,20.0
70.0,21070.0,0.1,2.302199062347412,0.0005975878859527569,2.26726469416584e-11,20.0
71.0,21371.0,0.1,2.302193550872803,0.0006379015533664577,2.297708300516389e-11,20.0
72.0,21672.0,0.1,2.302187461471558,0.0006829640709323607,2.358882580878832e-11,20.0
73.0,21973.0,0.1,2.3021828392028807,0.0007423640676238346,2.381196238535164e-11,20.0
74.0,22274.0,0.1,2.302177184295654,0.0007973369543860956,2.46331782691124e-11,20.0
75.0,22575.0,0.1,2.3021728118896485,0.0008605922449219588,2.5279457691905168e-11,20.0
76.0,22876.0,0.1,2.3021688110351564,0.0009280774730155029,2.6248668045960946e-11,20.0
77.0,23177.0,0.1,2.3021651359558106,0.000999365689194731,2.7096623664903927e-11,20.0
78.0,23478.0,0.1001,2.3021631690979003,0.0010961699607258601,2.8279818111673005e-11,20.0
79.0,23779.0,0.1001,2.302162466430664,0.0012002483044323239,2.956944161120466e-11,20.0
80.0,24080.0,0.1001,2.3021599250793456,0.0013192860552109964,3.112527746470851e-11,20.0
81.0,24381.0,0.1001,2.302159790420532,0.0014407859980949747,3.2764296926662416e-11,20.0
82.0,24682.0,0.1001,2.302158570098877,0.0015979678110722983,3.4338491182559345e-11,20.0
83.0,24983.0,0.1001,2.3021610481262207,0.0017752665843110014,3.61101375753201e-11,20.0
84.0,25284.0,0.1001,2.30216358795166,0.0020090680732200755,3.7704824533051655e-11,20.0
85.0,25585.0,0.1003,2.3021689552307127,0.0022320665236872967,3.962858268396735e-11,20.0
86.0,25886.0,0.1003,2.302177878952026,0.002505929507677912,4.1780475689980765e-11,20.0
87.0,26187.0,0.1002,2.3021893936157225,0.00282341111794138,4.435136555046672e-11,20.0
88.0,26488.0,0.1,2.302204133224487,0.00319882310517192,4.7849088057793105e-11,20.0
89.0,26789.0,0.0999,2.3022244159698486,0.0036620273293476216,5.083824333652523e-11,20.0
